article_title,article_link,article_content
"Starbucks earnings disappoint as U.S. boycott, ‘cautious’ China weaken sales",https://www.cnbc.com/2024/01/30/starbucks-sbux-q1-2024-earnings.html,"Starbucks on Tuesday reported quarterly earnings and revenue that missed Wall Street's expectations as both domestic and international sales fell short of estimates.CEO Laxman Narasimhan said on the company's conference call that the chain faced ""headwinds,"" including a boycott in the U.S. and increased discounting by rivals in China. The company lowered its full-year revenue outlook as a result.Shares initially fell in extended trading but recovered, rising about 3%.Here's what the company reported for its fiscal first quarter compared to what Wall Street was expecting, based on a survey of analysts by LSEG, formerly known as Refinitiv:The coffee giant reported fiscal first-quarter net income of $1.02 billion, or 90 cents per share, up from $855.2 million, or 74 cents per share, a year earlier.Excluding restructuring costs and other items, Starbucks earned 90 cents per share.Net sales rose 8% to $9.43 billion. Global same-store sales increased 5%, falling short of StreetAccount estimates of 7.2%.In North America, same-store sales also rose 5%, driven largely by customers spending more on their drinks and food.But Narasimhan said U.S. traffic lagged, starting in mid-November. He cited what he called ""misperceptions"" about the company's position on the Israel-Hamas war, and said the decline in sales largely came from customers who only visited occasionally.The controversy kicked off when Starbucks Workers United, which represents hundreds of the chain's unionized cafes, posted in support of Palestinians, leading to backlash from conservatives. Starbucks sought to distance itself from the tweet, which the union deleted, and sued Workers United for trademark infringement.Narasimhan also wrote a letter to workers in December, condemning misinformation and seeking to extricate Starbucks from the controversy.The chain's most loyal customers have stood by Starbucks, Narasimhan said. Starbucks is seeking to bring back other customers by targeting them with promotions through its loyalty program and new Valentine's Day drinks.Starbucks' fiscal first quarter also encompasses the all-important holiday season. The chain usually nets billions of dollars in gift card sales, plus higher traffic fueled by its seasonal drink offerings and thirsty shoppers. Narasimhan said consumers loaded $3.6 billion onto gift cards this quarter, breaking the chain's record.Outside of Starbucks' home market, the coffee chain reported international same-store sales growth of 7%, missing expectations of 13.2%. Narasimhan said sales at locations in the Middle East also fell due to the war.China, the company's second-largest market, reported same-store sales growth of 10%. However, the average ticket at its Chinese stores fell 9%. Chinese consumers are ""more cautious,"" according to Narasimhan.The chain has seen increased competition from lower-priced rivals such as Luckin Coffee, which have won over consumers as China's economic recovery continues to lag.Starbucks executives said the challenges it faced this quarter are ""transitory,"" but damaging enough that the company revised its full-year sales outlook. Chief Financial Officer Rachel Ruggeri also said January's sales have been softer than expected.For fiscal 2024, the company now anticipates revenue growth of 7% to 10%, down from its prior forecast of 10% to 12%. Starbucks also lowered its global same-store sales outlook to a range of 4% to 6%, from its previous range of 5% to 7%.The company reiterated its full-year forecast of earnings per share growth of 15% to 20%."
Walmart announces 3-for-1 stock split as shares hover below all-time high,https://www.cnbc.com/2024/01/30/walmart-announces-3-for-1-stock-split-as-shares-hover-below-all-time-high.html,"Walmart announced a three-for-one stock split on Tuesday as the retailer's shares sit just below their all-time high.The company said the additional shares will be payable after the market closes Feb. 23 to shareholders of record as of the previous day. Walmart's stock will start trading on a post-split basis Feb. 26.Walmart said it chose to break up shares in part to allow more employees to buy into its stock purchase plan. The company ""felt it was a good time to split the stock and encourage our associates to participate in the years to come,"" CEO Doug McMillon said in a statement.Walmart shares rose about 1% in extended trading.The big-box retailer thrived in the last year as many of its rivals stagnated. As the largest grocer in the U.S., it could withstand pressures on discretionary spending that tripped up competitors.Walmart's sales climbed to $160.80 billion in the third quarter, a roughly 5% increase from the previous year. The company plans to report earnings for the holiday quarter next month.The stock closed Tuesday at $165.59, shy of the all-time high of $169.94 it hit in November. Walmart shares have climbed about 5% this year.The company has done 11 two-for-one stock splits in its history. The most recent came in 1999.The stock split comes as Walmart tries to boost employee benefits and loyalty. Earlier this month, the company said it would increase store manager wages to an average of $128,000 per year and change its bonus program to make managers eligible for a bonus of up to 200% of their base salary.Don't miss these stories from CNBC PRO:"
Vertex non-opioid painkiller shows positive late-stage trial results,https://www.cnbc.com/2024/01/30/vertex-non-opioid-painkiller-shows-positive-late-stage-trial-results.html,"Vertex Pharmaceuticals on Tuesday said its experimental painkiller, which is being tested as an alternative to addictive opioids, significantly decreased post-surgery pain in late-stage trialsThe drug, known as VX-548, did not work better than a popular opioid, however.Still, the trial results bring the biotech company one step closer to developing a drug that can provide strong pain relief without the addictive potential of opioids, which have caused a horrific epidemic in the U.S. Plenty of other similar painkillers never reached the market.Vertex said it would file for Food and Drug Administration approval of the painkiller for the treatment of moderate-to-severe acute pain by the middle of this year.Acute pain is usually caused by injury, surgery, illness, trauma or painful medical procedures and is likely to ease with time. Around 80 million patients are prescribed a medicine for their moderate-to-severe acute pain every year in the U.S., Vertex said in a release.Wall Street analysts have said that the drug, which works by blocking pain signals at its origin before they reach the brain, could become a blockbuster drug if it wins approval from regulators, estimating its annual sales could exceed $1 billion.""We are very pleased with the results from the VX-548 pivotal program, which demonstrate a compelling and consistent combination of efficacy and safety across multiple acute pain conditions and settings,"" Vertex CEO Dr. Reshma Kewalramani said in a release.Shares of Vertex rose more than 2% on Tuesday following the data release. The company, best known for developing drugs to treat the serious genetic disorder cystic fibrosis, has a market value of about $115 billion.Last year, the company's painkiller produced positive results in a mid-stage trial in diabetes patients suffering from a chronic nerve condition. The stock also saw a boost from U.S. approval of the first-ever gene-editing therapy for sickle cell disease from Vertex and its partner CRISPR Therapeutics.Vertex said Tuesday its painkiller was more effective in reducing the intensity of pain after 48 hours in two late-stage studies on more than 1,000 patients who had abdominoplasties, also known as ""tummy tucks,"" and roughly another thousand in people who had bunion surgery. Those two procedures are commonly used in studies of people with acute pain.The company's painkiller, however, failed to meet the secondary goal in both trials of reducing pain when compared to a combination of the opioid drug hydrocodone, which is frequently abused, and acetaminophen, the basis for popular pain medications like Tylenol.Jefferies analyst Michael Yee said the drug's failure to meet that goal is in line with expectations and that overall, the late-stage trial results released Tuesday are positive.VX-548 was also safe and well-tolerated in the two trials and an additional study examining the safety and tolerability of the drug in people experiencing pain from a variety of conditions. Common side effects included nausea and constipation."
New York sues Citibank for alleged failure to reimburse fraud victims,https://www.cnbc.com/2024/01/30/new-york-sues-citibank-for-alleged-failure-to-reimburse-fraud-victims.html,"New York Attorney General Letitia James on Tuesday sued Citibank for allegedly failing to protect and reimburse victims of electronic fraud.The suit claims that Citi does not have strong protections in place to prevent unauthorized account takeovers, misleads victims of fraud and illegally denies reimbursements, according to a release. The attorney general's office said the alleged failure on Citi's part has cost New York account holders millions of dollars, and in some cases, their entire life savings.""Banks are supposed to be the safest place to keep money, yet Citi's negligence has allowed scammers to steal millions of dollars from hardworking people,"" James said in a statement. ""Many New Yorkers rely on online banking to pay bills or save for big milestones, and if a bank cannot secure its customers' accounts, they are failing in their most basic duty.""Citigroup, the parent company of Citibank, has struggled with risk management and controls in the past. Former executives have said the bank — the product of decades of mergers that created a patchwork of technology systems — underinvested in its infrastructure. That was evident when Citigroup accidentally sent almost $900 million to Revlon's lenders in 2020.Later that year, banking regulators fined Citigroup $400 million and ordered the firm to improve its risk management systems. Since taking over in 2021, CEO Jane Fraser has pushed to improve the bank's technology and appease regulators.The New York lawsuit includes specific people who had thousands of dollars stolen from their accounts and said the bank did not reimburse them.In a statement, Citi said the bank ""works extremely hard"" to prevent threats and assist customers who become victims of fraud.""Banks are not required to make customers whole when those customers follow criminals' instructions and banks can see no indication the customers are being deceived. However, given the industry-wide surge in wire fraud during the last several years, we've taken proactive steps to safeguard our clients' accounts with leading security protocols, intuitive fraud prevention tools, clear insights about the latest scams, and driving client awareness and education,"" the company said in a statement. ""Our actions have reduced client wire fraud losses significantly, and we remain committed to investing in fraud prevention measures to help our clients secure their accounts against emerging threats.""James alleged in the lawsuit that Citi must reimburse victims of fraud under the Electronic Fund Transfer Act.Don't miss these stories from CNBC PRO:"
Carnival reroutes cruises as Red Sea tensions rise,https://www.cnbc.com/2024/01/30/carnival-reroutes-cruises-as-tensions-rise-in-the-middle-east-.html,"Carnival announced on Tuesday that it would reroute cruise itineraries for a dozen ships scheduled to transit the Red Sea as tensions rise in the Middle East.""Given recent developments and in close consultation with global security experts and government authorities, the company has made the decision to reroute itineraries for 12 ships across seven brands, which were scheduled to transit the Red Sea through May 2024,"" the cruise line said in a press release.Repeated attacks on vessels by Iranian-backed Houthi Rebels have forced major shipping and oil companies to divert their routes, adding days to shipping times and driving up costs.The U.S. has responded by striking the Houthis in Yemen, but U.S. President Joe Biden admitted earlier this month the retaliation was not stopping the group. A weekend attack by Iranian-backed militants killed three U.S. service members in Jordan and also heightened tensions in the region.Carnival expects the rerouting to affect its adjusted earnings per share by 7 cents to 8 cents in 2024. The company forecast adjusted full-year earnings per share of 93 cents, according to its fiscal fourth-quarter earnings released last month. The cruise liner is expected to release its fiscal 2024 first-quarter earnings in March.Carnival is the latest company to announce disruptions due to the conflicts in the Red Sea. Earlier this month, Royal Caribbean and Swiss-Italian operator MSC Cruises said they would cancel trips in the region.A spokesperson for Carnival told CNBC the cruise line or a travel advisor would directly contact customers affected by the changes.Shares of Carnival traded flat Tuesday. The stock is up more than 50% in the past year. While bookings have rebounded from the Covid-19 pandemic, the stock is almost 70% off its pre-pandemic high.Don't miss these stories from CNBC PRO:"
"Healthy Returns: J&J, Merck and Bristol Myers Squibb are in the hot seat",https://www.cnbc.com/2024/01/30/healthy-returns-jj-merck-and-bristol-myers-squibb-in-the-hot-seat.html,"Think a friend or colleague should be getting this newsletter? Share this link with them to sign up.Good afternoon! This is Annika Kim Constantino, and I cover the biotech and pharmaceutical industry for CNBC.com.Three names in the industry – Johnson & Johnson, Merck and Bristol Myers Squibb – face a pivotal few weeks ahead.CEOs from those companies are slated to testify at a Senate hearing on high prescription drug prices in the U.S. on Feb. 8 at 10 a.m. ET, Sen. Bernie Sanders announced Friday.It took subpoena threats from the senator, but J&J CEO Joaquin Duato and Merck CEO Robert Davis have agreed to testify after both executives declined earlier requests to appear at the Senate HELP committee's hearing. They join Bristol Myers Squibb CEO Chris Boerner, who agreed to the panel's initial invitation to appear.Sanders hopes the hearing could bear some fruit for Americans, especially after Eli Lilly's CEO promised not to raise the prices of the company's insulin products during a similar grilling the panel held in May.But why is the committee targeting Merck, J&J and Bristol Myers Squibb in the first place? Sanders noted that all three companies manufacture some of the most expensive drugs sold in the U.S.: Merck's diabetes drug Januvia, Bristol Myers Squibb's blood thinner Eliquis and J&J's immunosuppressive medication Stelara.He's not wrong:Those prices don't reflect the exact cost people with insurance pay out of pocket.Still, data from the Biden administration suggests that some older adults with Medicare Part D coverage still pay hundreds of dollars for those medications. On average, Medicare enrollees paid $2,058 for Stelara, $441 for Eliquis and $270 for Januvia out of pocket in 2022, a fact sheet from the administration said.That's why the three drugs will be subject to the first round of Medicare drug price negotiations, a key policy under the Inflation Reduction Act that aims to make costly medications more affordable for seniors. J&J, Merck and Bristol Myers Squib are all suing to halt the talks, which will establish new prices that will go into effect in 2026.Those discussions are going to heat up on Thursday, when Medicare will make initial price offers for each of the 10 drugs selected for negotiations.Merck, J&J and Bristol Myers Squibb are also facing pressure for another reason: billions of revenue will be at risk after some of their blockbuster drugs tumble off a ""patent cliff"" over the next few years.That refers to when a company's patents for one or more leading branded products expire, which allows for competitors to sell copycats of those drugs, often at a lower price. That usually causes revenue to fall for drugmakers and costs to drop for patients, who can access similar but more affordable drug options.I did a deep dive on patent cliffs this weekend and zeroed in on some of the biggest medicines with key upcoming patent expirations:""When you step back from it all, lowering drug costs for patients and opening it up to a broader set of people is a great thing,"" Mike Perrone, Baird's biotech specialist, told CNBC. ""So, while it's a problem for these pharma companies, it's a help to the system and that's why it's created."""
"UPS announces 12,000 job cuts, says package volume slipped last quarter",https://www.cnbc.com/2024/01/30/ups-reports-drop-in-package-volume-stock-tumbles.html,"UPS fell short of Wall Street revenue estimates Tuesday, reporting drops in shipping volume, both internationally and domestically, in its fourth-quarter earnings report. The company also announced 12,000 layoffs as part of an effort to align resources in 2024.The workforce reductions will save the company about $1 billion in costs, CEO Carol Tomé said on a company earnings call.""2023 was a unique, and quite candidly, difficult and disappointing year. We experienced declines in volume, revenue and operating profits and all three of our business segments,"" Tomé said.Shares of the package giant dipped more than 8%.Here's how the company performed compared to Wall Street estimates:For the last three months of 2023, UPS reported net income of $1.61 billion, or $1.87 per share, compared with $3.45 billion, or $3.96 per share, a year earlier. Adjusting for one-time items related to pensions and intangible assets, UPS earned $2.47 per share.Revenue declined 7.8% to $24.9 billion from $27 billion last year.The company reported a 7.4% drop in average daily volume domestically and an 8.3% decrease internationally. Tomé said the international softness was ""heavily weighted"" in Europe, coupled with freight complications in the Red Sea region, as well as the Panama and Suez canals.Though the earnings report did not directly mention any financial impacts from negotiations with the Teamsters in August over labor contracts, Tomé cited the talks and the macroeconomic environment more broadly as contributing to the ""disappointing"" year.The company also said it's considering selling its Coyote truck brokerage business, which Tomé called a ""highly cyclical"" business with ""considerable earnings volatility."" The CEO also added that the company is planning to ask workers to return to the office five days a week in 2024.UPS' 2024 outlook expects revenue to range from $92 billion to $94.5 billion, with an adjusted operating margin of about 10% to 10.6%.Don't miss these stories from CNBC PRO:"
"GM to release plug-in hybrid vehicles, backtracking on product plans",https://www.cnbc.com/2024/01/30/gm-to-release-plug-in-hybrid-vehicles-backtracking-on-product-plans.html,"DETROIT – General Motors is changing its product lineup strategy to include plug-in hybrid electric vehicles, CEO Mary Barra told investors Tuesday.Barra did not disclose specific details of the plans other than that PHEVs, which include an internal combustion engine along with battery technologies, will be rolled out on ""select vehicles"" in North America to assist in meeting more stringent federal fuel economy regulations.More companies are reconsidering the viability of hybrid vehicles to appease consumer demand and avoid costly penalties related to those federal fuel economy and emissions standards. Most of GM's main competitors offer traditional hybrids as well as plug-in hybrid electric vehicles.""Let me be clear, GM remains committed to eliminating tailpipe emissions from our light-duty vehicles by 2035, but, in the interim, deploying plug-in technology in strategic segments will deliver some of the environment or environmental benefits of EVs as the nation continues to build this charging infrastructure,"" Barra said during the automaker's quarterly and 2023 earnings call.Barra alluded to the automaker using plug-in hybrid technology that the company has already adopted overseas in countries such as China. The only hybrid GM currently offers in the U.S. is a traditional hybrid version of the Chevrolet Corvette.GM led the way for plug-in electric vehicles with the Chevrolet Volt during the 2010s. The company discontinued the vehicle in early 2019, citing demand and cost concerns.The Detroit automaker previously planned to forgo plug-in hybrid vehicles and move all of its traditional cars and trucks with internal combustion engines to all-electric models for consumers.The shifting strategies are counterintuitive to the industry's recent messaging on EVs. Many auto companies have begun to invest billions of dollars in all-electric vehicles, and the Biden administration has made a push to get more EVs on U.S. roadways as quickly as possible.Don't miss these stories from CNBC PRO:"
Home prices began to cool in November after nine straight months of gains,https://www.cnbc.com/2024/01/30/home-prices-november-sp-case-shiller.html,"Home prices in November fell 0.2% from October, according to the S&P CoreLogic Case-Shiller national home price index.While that may not seem like a lot, it is the first monthly drop since January 2023. Mortgage rates rose sharply in October to their highest level in more than 20 years, making houses hard to afford.Seattle and San Francisco reported the largest monthly price declines, falling 1.4% and 1.3%, respectively. Meanwhile, six cities registered a new all-time high in November. Those were Miami; Tampa, Florida; Atlanta; Charlotte, North Carolina; New York; and Cleveland.Prices nationally were still higher than the year before, and those annual gains increased again relative to the prior month. They rose 5.1% from November 2022, up from a 4.7% annual increase in October. The 10-city composite climbed 6.2%, up from a 5.7% advance in October. The 20-city composite rose 5.4%, up from a 4.9% increase in the previous month.""The house price decline came at a time where mortgage rates peaked, with the average Freddie Mac 30-year fixed rate mortgage nearing 8%, according to Federal Reserve data,"" said Brian Luke, head of commodities, real and digital assets at S&P DJI. ""The rate has since fallen over 1%, which could support further annual gains in home prices.""For the second straight month, Detroit reported the highest year-over-year gain among the 20 cities. Prices rose 8.2% in November, followed again by San Diego with an 8% increase.Portland, Oregon, was the only city showing prices lower from the prior year, down 0.7%, compared with November 2022.Regionally, the November report showed the narrowest price performance spread across the country since the first part of 2021.""The tight disparity speaks to a rising tide across the country, with less evidence of micro-markets bucking the trend. The days of markets in the South rising double digits with markets in the Midwest remaining flat are over,"" added Luke.Don't miss these stories from CNBC PRO:"
Pfizer beats on earnings as Covid business loses less revenue than expected,https://www.cnbc.com/2024/01/30/pfizer-pfe-q4-earnings-report-2023.html,"Pfizer on Tuesday posted a surprise adjusted fourth-quarter profit, as the company's declining Covid business loss less revenue than expected.The company reversed roughly $3.5 billion in revenue related to the expected return of 6.5 million doses of its Covid drug, Paxlovid, from the U.S. government. That hit is less than the $4.2 billion Pfizer initially expected for the return of nearly eight million doses of Paxlovid.The company sees the fewer-than-expected returned Paxlovid doses as an ""encouraging sign"" because it indicates that use of the drug increased in the fourth quarter, Pfizer Chief Financial Officer Dave Denton told CNBC in an interview.Pfizer's Covid vaccine raked in $5.36 billion in revenue for the quarter, down 53% from the same period last year. Analysts had expected the shot to bring in $4.99 billion in sales, according to FactSet estimates.Pfizer CEO Albert Bourla told CNBC around 15% of the U.S. population received an updated Covid vaccine this fall and winter. That's slightly lower than the 17% Pfizer forecast in October, a month after the company's new shot rolled out.The results come as Pfizer tries to blunt the rapid decline of its Covid business, which saw demand plummet to new lows and transitioned to the commercial market in the U.S. last year. As revenue suffers, the company is trying to improve its bottom line and boost investor confidence through a broad $4 billion cost-cutting plan.Here's what Pfizer reported for the fourth quarter compared to what Wall Street was expecting, based on a survey of analysts by LSEG, formerly known as Refinitiv:The pharmaceutical giant also reiterated its full-year 2024 guidance, which it first outlined in mid-December.Pfizer expects revenue to come in between $58.5 billion and $61.5 billion this year, which includes roughly $8 billion in revenue from its Covid products and contributions from its recently closed acquisition of cancer drug developer Seagen.The company expects to book adjusted earnings of $2.05 to $2.25 per share.Pfizer recorded fourth-quarter revenue of $14.25 billion, down 41% from the same period a year ago, due to the plunge in sales of its Covid products.For the fourth quarter, Pfizer booked a net loss of $3.37 billion, or 60 cents per share. That compares to a net income of $4.99 billion, or 87 cents per share, during the same period a year ago.Excluding certain items, the company posted earnings per share of 10 cents for the quarter. Still, Pfizer's Covid business had a dismal 2023.Revenue from its Covid vaccine and Paxlovid came in at $12.5 billion in 2023. That's down 78% from their $57 billion peak in 2022."
"GM beats Wall Street estimates, forecasts continued strong profit in 2024",https://www.cnbc.com/2024/01/30/general-motors-gm-earnings-q4-2023.html,"DETROIT — General Motors beat Wall Street's top- and bottom-line expectations for the fourth quarter, while forecasting another strong year despite potential economic and sales head winds.The Detroit automaker's 2024 guidance calls for net income attributable to stockholders of $9.8 billion to $11.2 billion, or $8.50 to $9.50 earnings per share; adjusted earnings before interest and taxes (EBIT) of $12 billion to $14 billion, or $8.50 to $9.50 adjusted EPS; and adjusted automotive free cash flow between $8 billion and $10 billion.The earnings guidance is largely better than GM's 2023 results and in line or higher than many Wall Street analysts' expectations of flat results compared with 2023.Shares of GM on Tuesday were up more than 8% during early trading Tuesday.Here's how the company performed in the fourth quarter, compared with average estimates compiled by LSEG, formerly known as Refinitiv:For the fourth quarter, GM reported net income for stockholders of $2.1 billion, or $1.59 per share, compared with $2 billion, or $1.39 per share a year earlier. Adjusting for one-time items, GM earned $1.24 per share, topping Wall Street expectations.Revenue was largely flat year over year, at $42.98 billion compared with $43.11 billion for the final three months of 2022.GM's full-year 2023 revenue was about up 10% compared with the prior year, at $171.84 billion, with net income attributable to stockholders of $10.13 billion and adjusted earnings before interest and taxes of $12.36 billion. That compares with 2022 revenue of $156.74 billion, net income attributable to stockholders of $9.93 billion and adjusted EBIT of $14.47 billion.""As we begin 2024, I believe GM is well positioned for another year of strong financial performance,"" GM CFO Paul Jacobson told the media during a call to discuss the results.GM's 2023 earnings included several special charges, including $1.1 billion in North American strike costs and $792 million for new commercial agreements between GM and LG Electronics and LG Energy Solution.Shares of GM are down less than 2% this year after rising about 7% last year, lifted by an accelerated $10 billion share repurchase program that was announced in late November."
"JetBlue swings to a loss, forecasts lower capacity in 2024",https://www.cnbc.com/2024/01/30/jetblue-airways-jblu-earnings-q4-2023.html,"JetBlue Airways swung to a loss in the fourth quarter and forecast lower capacity this year as it scrambles to return to profitability.The airline expects revenue to drop between 5% and 9% in the first three months of the year, more than the 5.5% decline Wall Street analysts were predicting. Capacity in the first quarter will be down as much as 6%, the airline said.JetBlue said it expects 2024 capacity to be down in the low single digits and that its adjusted margins could approach breakeven. Its shares fell 4.7% Tuesday.In an investor presentation, JetBlue said it has seven Airbus jets out of service for engine inspections stemming from a production problem at manufacturer Pratt & Whitney, a unit of RTX. It said that number could rise to as much as 15 by the end of the year.The airline has been grappling with higher costs, operational challenges and changing travel patterns, just as a federal judge earlier this month barred its plan to acquire Spirit Airlines for $3.8 billion. JetBlue warned last week the agreement with Spirit could be terminated, but it didn't provide further detail on Tuesday. JetBlue is also offering buyouts to some salaried workers to cut costs.The New York-based carrier said Tuesday it plans to defer $2.5 billion in spending on new aircraft until the end of the decade. Joanna Geraghty, JetBlue's COO and incoming chief executive, declined to say on the call whether Airbus provided JetBlue incentives to defer aircraft as other carriers scramble for new jets. Reuters reported earlier this week that United Airlines is seeking Airbus A321neo planes, which JetBlue also has on order, after expressing frustration about production problems at Boeing.Geraghty, however, said on the earnings call: ""I do believe that this was a win-win for both [Airbus] and ourselves over the next few years.""Here's what JetBlue reported for the fourth quarter, compared with Wall Street expectations complied by LSEG, formerly known as Refinitiv:The New York-based airline reported a net loss of $104 million for the last three months of 2023, compared with a $24 million profit a year earlier. On a per-share basis, JetBlue lost 31 cents during the fourth quarter, or 19 cents on an adjusted basis, compared with a 7-cent profit during the year-earlier period.Revenue for the fourth quarter was down 3.7% year over year, though still slightly ahead of Wall Street estimates.JetBlue has been tweaking its network to focus on more profitable flights. CNBC reported JetBlue's planned flight cuts earlier this month.""Demand during peak periods remains strong, and we continue to manage our capacity during off-peak periods to reflect evolving demand trends,"" said Geraghty said in the earnings release. ""We plan to continue to refine our network and product offering to better serve our leisure customers while diversifying revenues with margin-accretive initiatives.""Other airlines including Southwest have also slowed their growth or refined their networks to avoid overcapacity — and low fares — during off-peak periods, while discounting less popular flights.Don't miss these stories from CNBC PRO:"
Tom Brady is merging his nutrition and apparel brands with Nobull,https://www.cnbc.com/2024/01/30/tom-brady-nutrition-apparel-brands-merging-with-nobull.html,"Seven-time Super Bowl Champion Tom Brady is merging his health and nutrition company, TB12, and his apparel company, Brady, with training brand Nobull.As part of the deal, Brady will become the No. 2 shareholder in Nobull, behind BodyArmor founder Mike Repole who bought the company last year.Terms of the deal were not provided.Nobull was founded in 2015 by former Reebok executives Marcus Wilson and Michael Schaeffer. The Boston-based company employs about 100 people across the U.S., U.K. and China, and sells its sneakers and apparel primarily online.Under the merger, the company will continue to operate under the brand name Nobull and aims to become a complete wellness company.""I wanted to do something really big,"" Repole said about the deal with Brady. ""I think Nobull has a chance here to be this epic historic brand — playing in a space of health and wellness, through sneakers, apparel, nutrition mentality and really helping people with adversity, resilience, grit."""
Retail return fraud is rising as consumers send back purchases in droves,https://www.cnbc.com/2024/01/29/retail-return-fraud-is-rising-as-key-holiday-deadline-approaches.html,"As retailers tried to win shoppers and boost sales in recent years, they made their online return policies more lenient than ever.But those changes have come at a cost.As more consumers shop online and send back more of those orders, retailers have moved to crack down on fraud. In some cases, shoppers can send back different items than the ones they bought, return stolen items or claim a purchase never got delivered when it really did.Retailers estimate 13.7% of returns, or $101 billion worth, were fraudulent last year, according to a survey by Appriss Retail and the National Retail Federation. The share of returns expected to be fraudulent during the peak holiday season was even higher at 16.5%, or $24.5 billion worth, the survey found."
"FanDuel parent Flutter lists on NYSE, challenging DraftKings in sports betting",https://www.cnbc.com/2024/01/29/fanduel-parent-flutter-lists-on-the-nyse.html,"FanDuel parent Flutter listed on the New York Stock Exchange on Monday, offering U.S. investors an alternative to the biggest pure play in sports betting, DraftKings.It's a secondary listing for the international sportsbook, which will retain its primary listing on the London Stock Exchange and inclusion in the FTSE 100 index.But Flutter's most important market for revenue and growth is the United States, where FanDuel is the market share leader. In the fourth quarter, FanDuel had 43% market share based on gross revenue and 51% based on net revenue."
Starbucks olive oil-infused Oleato drinks to launch across the U.S.,https://www.cnbc.com/2024/01/29/starbucks-oleato-olive-oil-drinks-launch-across-the-us.html,"Starbucks is launching its olive oil-infused drinks in all U.S. stores beginning Tuesday, the company said.The beverages, named Oleato, debuted in Italy in February 2023 after former CEO Howard Schultz visited the country and noticed locals drinking olive oil daily. The line of olive oil-infused coffee drinks launched the next month in select U.S. Starbucks stores and met negative early reviews, with The New Yorker saying the drink ""tasted like a large spoonful of olive oil in coffee.""Oleato means ""with oil"" in Italian, according to Starbucks. The line includes a latte and an iced espresso drink.It also features the Oleato Golden Foam, which the company said is a vanilla sweet cream infused with Partanna extra virgin olive oil that can be added to any Starbucks drink. Four recommended customizations for the foam will also be available in the app, Starbucks added.The launch comes on the same day Starbucks will report fourth-quarter earnings.The company is trying to sustain sales growth in its North America unit. Its shares have fallen more than 3% so far this year.Don't miss these stories from CNBC PRO:"
Big pharma is preparing to lose revenue from blockbuster drugs,https://www.cnbc.com/2024/01/28/big-pharma-merck-bristol-myers-jj-prepare-to-lose-revenue.html,"Big pharmaceutical companies such as Bristol Myers Squibb, Merck and Johnson & Johnson face a looming threat that will put tens of billions of dollars in sales at risk between now and 2030, as blockbuster drugs will tumble off a so-called patent cliff.That refers to when a company's patents for one or more leading branded products expire, which opens the door for competitors to sell copycats of those drugs, often at a lower price. That typically causes revenue to fall for drugmakers and costs to drop for patients, who can access more affordable options.Certain drugmakers appear well prepared to offset some losses from upcoming patent cliffs, as they build their drug pipelines and ink acquisitions or partnerships with other companies, some Wall Street analysts said.Patent cliffs are an unavoidable issue for pharmaceutical companies. They must replenish older top-selling drugs with new ones that they hope will not just sustain their sales, but also grow them.The loss of exclusive rights on a drug can affect companies differently, depending on how much of their sales they get from the product or what type of treatment it is. Some drugs facing patent expirations will also be subject to the Biden administration's Medicare drug price negotiations, a policy that may further threaten the companies' revenues.The top 20 biopharma companies have $180 billion in sales at risk from patent expirations between now and 2028, according to estimates from EY.""It does differ by company at this stage, and I think there are a number of products in the '25, '30 timeframe that will be major growth drivers for large biopharma companies … but all in all, there are plenty of companies that have revenue holes to plug,"" William Blair & Company analyst Matt Phipps told CNBC."
